"start time",	"request type",	"latency",	"response code"
1612918452243	, Post request	, 88	, 200
1612918452331	, Post request	, 87	, 200
1612918452418	, Post request	, 88	, 200
1612918452506	, Post request	, 82	, 200
1612918452588	, Post request	, 85	, 200
1612918452673	, Post request	, 85	, 200
1612918452758	, Post request	, 84	, 200
1612918452842	, Post request	, 84	, 200
1612918452926	, Post request	, 89	, 200
1612918453015	, Post request	, 87	, 200
1612918453102	, Post request	, 86	, 200
1612918453188	, Post request	, 89	, 200
1612918453278	, Post request	, 92	, 200
1612918453370	, Post request	, 86	, 200
1612918453456	, Post request	, 178	, 200
1612918453634	, Post request	, 87	, 200
1612918453721	, Post request	, 85	, 200
1612918453806	, Post request	, 90	, 200
1612918453896	, Post request	, 86	, 200
1612918453982	, Post request	, 88	, 200
1612918454070	, Post request	, 84	, 200
1612918454154	, Post request	, 86	, 200
1612918454240	, Post request	, 89	, 200
1612918454329	, Post request	, 85	, 200
1612918454414	, Post request	, 89	, 200
1612918454503	, Post request	, 85	, 200
1612918454588	, Post request	, 90	, 200
1612918454678	, Post request	, 92	, 200
1612918454770	, Post request	, 91	, 200
1612918454861	, Post request	, 87	, 200
1612918454948	, Post request	, 83	, 200
1612918455031	, Post request	, 86	, 200
1612918455117	, Post request	, 86	, 200
1612918455203	, Post request	, 86	, 200
1612918455289	, Post request	, 84	, 200
1612918455373	, Post request	, 86	, 200
1612918455459	, Post request	, 87	, 200
1612918455546	, Post request	, 88	, 200
1612918455634	, Post request	, 83	, 200
1612918455717	, Post request	, 89	, 200
1612918455806	, Post request	, 92	, 200
1612918455898	, Post request	, 87	, 200
1612918455985	, Post request	, 86	, 200
1612918456071	, Post request	, 92	, 200
1612918450445	, Post request	, 426	, 200
1612918450878	, Post request	, 182	, 200
1612918451060	, Post request	, 94	, 200
1612918451154	, Post request	, 92	, 200
1612918451246	, Post request	, 94	, 200
1612918451340	, Post request	, 86	, 200
1612918451426	, Post request	, 93	, 200
1612918451519	, Post request	, 92	, 200
1612918451611	, Post request	, 95	, 200
1612918451706	, Post request	, 88	, 200
1612918451794	, Post request	, 86	, 200
1612918451880	, Post request	, 83	, 200
1612918451963	, Post request	, 96	, 200
1612918452059	, Post request	, 89	, 200
1612918452148	, Post request	, 88	, 200
1612918452236	, Post request	, 89	, 200
1612918452325	, Post request	, 88	, 200
1612918452413	, Post request	, 84	, 200
1612918452497	, Post request	, 91	, 200
1612918452588	, Post request	, 82	, 200
1612918452670	, Post request	, 82	, 200
1612918452752	, Post request	, 83	, 200
1612918452835	, Post request	, 86	, 200
1612918452921	, Post request	, 86	, 200
1612918453007	, Post request	, 89	, 200
1612918453096	, Post request	, 83	, 200
1612918453179	, Post request	, 93	, 200
1612918453272	, Post request	, 87	, 200
1612918453359	, Post request	, 95	, 200
1612918453454	, Post request	, 89	, 200
1612918453543	, Post request	, 84	, 200
1612918453627	, Post request	, 87	, 200
1612918453714	, Post request	, 91	, 200
1612918453805	, Post request	, 91	, 200
1612918453896	, Post request	, 86	, 200
1612918453982	, Post request	, 89	, 200
1612918454071	, Post request	, 85	, 200
1612918454156	, Post request	, 87	, 200
1612918454243	, Post request	, 89	, 200
1612918454332	, Post request	, 89	, 200
1612918454421	, Post request	, 82	, 200
1612918454503	, Post request	, 85	, 200
1612918454588	, Post request	, 95	, 200
1612918454683	, Post request	, 88	, 200
1612918454771	, Post request	, 90	, 200
1612918454861	, Post request	, 87	, 200
1612918454948	, Post request	, 83	, 200
1612918455031	, Post request	, 86	, 200
1612918455117	, Post request	, 171	, 200
1612918455288	, Post request	, 86	, 200
1612918455374	, Post request	, 86	, 200
1612918455460	, Post request	, 86	, 200
1612918455546	, Post request	, 88	, 200
